sampleid,replnumber,biotreatment,temp,group,day,SampleDate
SP-7,7,Blank,15,a,0,yyyy-mm-dd
SP-19,19,Blank,15,a,0,yyyy-mm-dd
SP-9,9,Blank,15,a,0,yyyy-mm-dd
SP-23,23,Blank,15,a,0,yyyy-mm-dd
SP-21,21,Blank,15,a,0,yyyy-mm-dd
SP-1,1,Blank,15,a,0,yyyy-mm-dd
SP-16,16,Blank,15,a,15,yyyy-mm-dd
SP-2,2,Blank,15,a,15,yyyy-mm-dd
SP-11,11,Blank,15,a,15,yyyy-mm-dd
SP-5,5,Blank,15,a,15,yyyy-mm-dd
SP-8,8,Blank,15,a,15,yyyy-mm-dd
SP-20,20,Blank,15,a,15,yyyy-mm-dd
SP-22,22,Blank,15,a,30,yyyy-mm-dd
SP-6,6,Blank,15,a,30,yyyy-mm-dd
SP-24,24,Blank,15,a,30,yyyy-mm-dd
SP-3,3,Blank,15,a,30,yyyy-mm-dd
SP-4,4,Blank,15,a,30,yyyy-mm-dd
SP-13,13,Blank,15,a,30,yyyy-mm-dd
SP-14,14,Blank,15,a,60,yyyy-mm-dd
SP-18,18,Blank,15,a,60,yyyy-mm-dd
SP-15,15,Blank,15,a,60,yyyy-mm-dd
SP-17,17,Blank,15,a,60,yyyy-mm-dd
SP-10,10,Blank,15,a,60,yyyy-mm-dd
SP-12,12,Blank,15,a,60,yyyy-mm-dd
SP-37,13,Bact,15,b,0,yyyy-mm-dd
SP-45,21,Bact,15,b,0,yyyy-mm-dd
SP-48,24,Bact,15,b,0,yyyy-mm-dd
SP-34,10,Bact,15,b,0,yyyy-mm-dd
SP-44,20,Bact,15,b,0,yyyy-mm-dd
SP-33,9,Bact,15,b,0,yyyy-mm-dd
SP-31,7,Bact,15,b,15,yyyy-mm-dd
SP-26,2,Bact,15,b,15,yyyy-mm-dd
SP-28,4,Bact,15,b,15,yyyy-mm-dd
SP-38,14,Bact,15,b,15,yyyy-mm-dd
SP-30,6,Bact,15,b,15,yyyy-mm-dd
SP-42,18,Bact,15,b,15,yyyy-mm-dd
SP-46,22,Bact,15,b,30,yyyy-mm-dd
SP-36,12,Bact,15,b,30,yyyy-mm-dd
